RISET HARGA RESMI / ORIGINAL PRODUK,,,,,,,,,,
Tanggal riset: 26 Mei 2026. Harga resmi bisa berbeda per region dan promo; label reseller ditandai sebagai padanan terdekat atau tidak ada paket resmi.,,,,,,,,,,
,,,,,,,,,,
Produk di file,Harga di file,Paket resmi acuan,Harga resmi / original,Status,Catatan,Sumber resmi,,,,
APPLE MUSIC FAMPLAN 1 Bln,Rp8.500,Apple Music Family,Rp85.000/bulan,match langsung,Paket resmi Family untuk hingga 6 orang.,https://www.apple.com/id/apple-music/,,,,
APPLE MUSIC FAMPLAN 3 Bln,Rp15.000,Apple Music Family,Rp255.000 total (3 × Rp85.000),perlu hitung total,Tidak ada bundel 3 bulan resmi yang terlihat; total dihitung dari harga bulanan resmi.,https://www.apple.com/id/apple-music/,,,,
APPLE MUSIC HEAD 1 Bln,Rp15.000,Apple Music Individual,Rp55.000/bulan,padanan terdekat,Label 'HEAD' tidak ada di paket resmi; paling dekat adalah Individual.,https://www.apple.com/id/apple-music/,,,,
BSTATION SHARING 1 Bln,Rp7.000,BiliBili TV Standard,Rp25.000,match langsung,Paket resmi bulanan Standard.,https://www.bilibili.tv/vip/purchase,,,,
BSTATION SHARING 3  Bln,Rp10.000,BiliBili TV Standard,Rp75.000,perlu hitung total,Bundel 3 bulan resmi tidak tampak di cuplikan; total dihitung dari harga bulanan resmi.,https://www.bilibili.tv/vip/purchase,,,,
BSTATION SHARING 1 Thn,Rp12.000,BiliBili TV Standard,Rp219.000,match langsung,Paket resmi tahunan Standard.,https://www.bilibili.tv/vip/purchase,,,,
CANVA MEMBER 7 hari,Rp3.000,Canva Pro,Rp39.000/minggu,match langsung,Harga promo resmi mingguan dari halaman Canva Indonesia.,https://www.canva.com/id_id/belajar/canva-pro-murah/,,,,
CANVA MEMBER 1 Bln,Rp3.500,Canva Pro,Rp95.000/bulan,match langsung,Paket bulanan resmi di App Store Indonesia.,https://apps.apple.com/id/app/canva-ai-video-photo-editor/id897446215,,,,
CANVA MEMBER 1 Thn,Rp8.000,Canva Pro,Rp769.000/tahun,match langsung,Paket tahunan resmi di App Store Indonesia.,https://apps.apple.com/id/app/canva-ai-video-photo-editor/id897446215,,,,
CANVA MEMBER Lifetime,Rp11.000,Tidak ada paket resmi lifetime,Tidak tersedia,tidak ada paket resmi,Canva tidak menampilkan paket lifetime publik.,https://apps.apple.com/id/app/canva-ai-video-photo-editor/id897446215,,,,
